event_date,year,event_type,sub_event_type,actor1,actor2,interaction,admin1,admin2,location,latitude,longitude,fatalities,civilian_targeting,notes,month
2024-12-05,2024,Explosions/Remote violence,Remote explosive/landmine/IED,BLA: Baloch Liberation Army,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Panjgur,Parome,26.5582,63.6706,2,,"On 5 December 2024, BLA militants detonated an IED targeting a military vehicle in Zain area of Parome tehsil (Panjgur, Balochistan). The vehicle was damaged in the explosion. BLA claim two military personnel were killed and three others were wounded. Fatalities uncorroborated with 2 fatalities coded and 3 injured.",2024-12
2024-12-05,2024,Violence against civilians,Attack,BLA: Baloch Liberation Army,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Kech,Turbat,26.0001,63.0527,1,Civilian targeting,"On 5 December 2024, BLA militants shot dead a man claimed to have been a military informant in Noduz locality of Turbat area (Kech, Balochistan). BLA claim the individual was responsible for assisting military forces, and involved in the killing of a BLA militant in October 2024. 1 fatality.",2024-12
2024-12-04,2024,Battles,Armed clash,BLA: Baloch Liberation Army,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Nushki,Galangoor,29.5946,66.2733,1,,"On 4 December 2024, BLA militants opened fire and attacked a military check post in Galangoor area of Nushki district (Nushki, Balochistan). BLA claim one military personnel was killed and two others were injured. Fatalities uncorroborated with 1 fatality coded and 2 injured.",2024-12
2024-12-04,2024,Explosions/Remote violence,Remote explosive/landmine/IED,Baloch Separatists (Pakistan),Civilians (Pakistan),Rebel group-Civilians,Balochistan,Killa Abdullah,Qilla Abdullah,30.728,66.6612,0,Civilian targeting,"On 4 December 2024, militants (coded as Baloch Separatists) detonated an explosive-laden motorcycle targeting a levies vehicle in front of the NADRA office in Qilla Abdullah area (Killa Abdullah, Balochistan). The personnel were targeted when they were on their way home after duty. Two levies personnel were wounded in the explosion, while the vehicle was heavily damaged. 2 injured and no fatalities.",2024-12
2024-12-02,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Awaran,Jhal Jao,26.3031,65.5812,1,,"On 2 December 2024, BLF militants shot dead a military personnel in Doleji area of Jhal Jao tehsil (Awaran, Balochistan) in a sniper attack. BLF claim one military personnel was killed. Fatalities uncorroborated with 1 fatality coded.",2024-12
2024-12-02,2024,Battles,Armed clash,BLA: Baloch Liberation Army,Police Forces of Pakistan (2022-) Frontier Corps,State forces-Rebel group,Balochistan,Nushki,Nushki,29.5521,66.0228,0,,"On 2 December 2024, BLA militants opened fire at FC personnel at an FC camp near the bus terminal in Nushki city (Nushki, Balochistan). After FC personnel opened retaliatory fire, militants fled the scene. BLA claim three FC personnel were killed in the attack. However, according to mainstream sources, two FC personnel were wounded in the attack. 2 injured and no fatalities coded based on the lowest estimate.",2024-12
2024-12-02,2024,Explosions/Remote violence,Grenade,BLF: Baloch Liberation Front,Police Forces of Pakistan (2022-) Counter Terrorism Department,State forces-Rebel group,Balochistan,Quetta,Quetta,30.1999,67.0097,0,,"On 2 December 2024, BLF militants hurled a hand grenade towards a CTD personnel station on Qambarani Road in Quetta city (Quetta, Balochistan). BLF claim the CTD personnel was wounded in the attack. 1 injured and no fatalities.",2024-12
2024-11-30,2024,Explosions/Remote violence,Grenade,BLA: Baloch Liberation Army,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Mastung,Mastung,29.7945,66.7206,0,,"On 30 November 2024, BLA militants hurled a hand grenade towards military personnel near a military camp in Mastung city (Mastung, Balochistan). According to Baloch sources, the explosion resulted in an unspecified number of casualties. Exact casualties unknown.",2024-11
2024-11-30,2024,Explosions/Remote violence,Remote explosive/landmine/IED,Baloch Separatists (Pakistan),Police Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Killa Abdullah,Qilla Abdullah,30.728,66.6612,0,,"On 30 November 2024, militants (coded as Baloch Separatists) planted an IED inside a sewage line drain and detonated it near grade police station in Qilla Abdullah town (Killa Abdullah, Balochistan). One police personnel was wounded in the explosion. The blast also caused damaged to a WAPDA electric grid station. 1 injured and no fatalities.",2024-11
2024-11-30,2024,Violence against civilians,Attack,BLA: Baloch Liberation Army,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Kalat,Kalat,29.0266,66.5936,1,Civilian targeting,"On 30 November 2024, BLA militants shot dead a man claim to have been a military informant in a vegetable market in Kalat city (Kalat, Balochistan). BLA claim the individual was also associated with 'death squads' (coded as pro-government militias) in the area. 1 fatality.",2024-11
2024-11-29,2024,Violence against civilians,Attack,BLA: Baloch Liberation Army,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Kalat,Mangochar,29.3479,66.6365,1,Civilian targeting,"On 29 November 2024, BLA militants shot dead a man claimed to have been a military informant in Mangochar area (Kalat, Balochistan). BLA claim the individual had resided in the area under the guise of a homeless person. 1 fatality.",2024-11
2024-11-29,2024,Explosions/Remote violence,Remote explosive/landmine/IED,Baloch Separatists (Pakistan),Police Forces of Pakistan (2022-) Coast Guard,State forces-Rebel group,Balochistan,Gwadar,Jiwani,25.0466,61.7461,0,,"On 29 November 2024, unidentified militants (coded as Baloch Separatists) detonated an IED targeting coast guard personnel near Bhagwan Chowk in Jiwani city (Gwadar, Balochistan). Two coast personnel were wounded in the attack, and their vehicle was damaged. 2 injured and no fatalities.",2024-11
